sentenceID,homophoneID,version,sentenceType,m1,word,m1_relatedness,m2_relatedness,unigram,m1_trigram,m2_trigram
22,22,a,pun,sperm,chooses,-0.782835074,-0.649524509,4.79E-06,1.22E-06,1.22E-06
22,22,a,pun,sperm,sex,1.793568014,0.994719349,6.60E-05,7.33E-05,7.33E-05
22,22,a,pun,sperm,child,1.20202566,-0.695449385,0.000189301,0.000438705,0.000438705
22,22,a,pun,sperm,just,-0.705919562,-0.960892804,0.00101403,0.0136544,0.0136544
22,22,a,pun,sperm,moment,-0.456345808,1.80293771,0.000167247,0.000534063,0.000534063
22,22,a,pun,sperm,decision,-0.340387368,-0.151593384,0.000133243,4.01E-06,4.01E-06
23,23,a,pun,grime,grime,0,0,9.59E-07,1.73E-07,0.000589605
23,23,a,pun,grime,children,-0.248805238,-0.807717991,0.000367204,0.00102898,0.00102898
23,23,a,pun,grime,eat,-0.463720998,-0.777888144,5.87E-05,0.00265646,0.00265646
23,23,a,pun,grime,washing,0.855460814,-1.022932402,2.05E-05,0.000134518,0.000134518
23,23,a,pun,grime,hands,0.02573075,-0.192807897,0.000143745,0.282159,0.282159
24,24,a,pun,epoch,epoch,0,0,1.39E-06,3.15E-07,1.20E-08
24,24,a,pun,epoch,grandparents,-0.140462652,-0.696201398,4.45E-06,3.00E-07,3.00E-07
24,24,a,pun,epoch,faces,-0.871854252,0.090758841,3.58E-05,3.42E-05,3.42E-05
24,24,a,pun,epoch,full,-0.531953874,-0.489234324,0.000226792,0.000885939,0.000885939
24,24,a,pun,epoch,marks,-0.765084941,1.235380646,3.51E-05,2.47E-05,0.412343
25,25,a,pun,bonus,bonus,0,0,1.11E-05,7.13E-06,8.96E-05
25,25,a,pun,bonus,labored,0.230826751,-0.618125366,2.44E-08,1.99E-05,1.99E-05
25,25,a,pun,bonus,hard,-0.605434133,0.961548028,0.000179481,0.00275891,0.00275891
25,25,a,pun,bonus,worked,0.085690978,0.160513752,9.96E-05,0.000743532,0.000743532
25,25,a,pun,bonus,fingers,-1.042123439,1.111863269,4.40E-05,0.000418514,0.000418514
26,26,a,pun,hobbit,hobbit,0,0,4.71E-07,1.46E-08,0.00974639
26,26,a,pun,hobbit,keep,-0.657583393,0.253686122,0.000216663,3.02E-05,3.02E-05
26,26,a,pun,hobbit,reading,1.472241225,0.019289278,8.60E-05,0.000565856,0.000565856
26,26,a,pun,hobbit,the,0.171521965,-1.006811246,0.048626868,0.0283555,0.0283555
26,26,a,pun,hobbit,lord,0.082779547,-0.696696471,0.000127756,3.55E-05,3.55E-05
26,26,a,pun,hobbit,rings,0.943917597,-0.566546575,1.24E-05,2.35E-05,2.35E-05
26,26,a,pun,hobbit,guess,-0.847441127,-0.91851544,2.36E-05,0.00735817,0.00735817
26,26,a,pun,hobbit,just,-0.869925117,-0.556870298,0.00101403,0.0124207,0.0124207
26,26,a,pun,hobbit,force,-0.660585383,-0.157900287,0.000125276,2.39E-05,2.39E-05
27,27,a,pun,screaming,screaming,0,0,1.09E-05,2.55E-06,0.000419497
27,27,a,pun,screaming,like,-0.89623195,-0.443944792,0.001186943,0.00051742,0.00051742
27,27,a,pun,screaming,latest,-0.768492084,-0.295271219,5.22E-05,0.000295892,0.000295892
